Number_of_Vehicles,Number_of_Casualties,Month
1,1,January
2,1,January
2,3,January
2,1,January
2,2,January
1,3,January
2,2,January
2,3,January
2,2,January
1,1,January
2,8,January
2,2,January
1,1,January
2,2,January
2,1,January
1,1,January
1,1,January
2,3,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
2,1,January
1,2,January
2,1,January
2,1,January
2,1,January
3,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,2,January
1,1,January
2,2,January
1,1,January
1,1,January
2,1,January
1,1,January
2,2,January
2,1,January
2,1,January
3,5,January
2,1,January
2,1,January
1,4,January
1,1,January
2,3,January
3,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
4,4,January
1,1,January
2,5,January
2,2,January
1,2,January
2,2,January
1,1,January
2,1,January
1,1,January
2,4,January
2,3,January
2,2,January
1,2,January
1,2,January
2,1,January
2,1,January
2,2,January
1,3,January
1,2,January
1,1,January
2,2,January
2,3,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,3,January
3,1,January
2,3,January
1,1,January
2,2,January
3,1,January
1,1,January
2,4,January
2,1,January
3,1,January
1,2,January
2,1,January
3,2,January
2,2,January
3,1,January
2,2,January
2,1,January
2,2,January
2,1,January
2,2,January
1,1,January
2,1,January
1,1,January
1,3,January
1,1,January
1,1,January
2,3,January
1,1,January
2,1,January
1,1,January
3,1,January
2,1,January
2,4,January
1,2,January
1,1,January
3,1,January
3,1,January
2,2,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,2,January
1,3,January
1,1,January
1,1,January
2,1,January
1,2,January
1,1,January
1,1,January
1,2,January
2,2,January
1,1,January
1,1,January
2,3,January
1,1,January
1,1,January
1,2,January
2,2,January
2,2,January
2,1,January
1,1,January
2,1,January
1,3,January
1,1,January
1,1,January
2,1,January
2,3,January
1,1,January
2,3,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,3,January
1,1,January
1,1,January
2,1,January
1,2,January
1,1,January
3,1,January
1,4,January
2,1,January
2,1,January
1,1,January
1,1,January
1,5,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,2,January
1,1,January
2,1,January
2,2,January
1,2,January
2,1,January
1,4,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
3,1,January
3,5,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,1,January
1,1,January
3,2,January
2,1,January
2,1,January
2,3,January
2,1,January
9,4,January
4,6,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,2,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,2,January
2,1,January
1,1,January
1,2,January
2,2,January
2,1,January
2,1,January
3,1,January
1,1,January
2,1,January
4,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
3,1,January
2,1,January
2,2,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,3,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,3,January
2,1,January
2,2,January
2,1,January
1,1,January
2,2,January
2,1,January
2,1,January
2,2,January
2,2,January
2,2,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,2,January
5,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
3,3,January
2,2,January
2,2,January
2,2,January
2,2,January
2,1,January
1,1,January
1,2,January
1,1,January
2,1,January
2,1,January
1,1,January
2,2,January
3,2,January
1,2,January
2,1,January
2,3,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
3,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,2,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
3,1,January
1,1,January
2,2,January
2,1,January
3,2,January
1,1,January
2,1,January
2,2,January
2,1,January
1,2,January
3,2,January
2,1,January
1,1,January
2,1,January
2,3,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,3,January
2,2,January
1,2,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
3,1,January
1,2,January
1,1,January
2,2,January
2,2,January
2,2,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,2,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
1,1,January
2,1,January
2,2,January
1,1,January
1,1,January
1,2,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
2,1,January
2,2,January
3,2,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
1,1,January
1,2,January
2,1,January
2,2,January
2,1,January
2,1,January
3,4,January
3,1,January
2,1,January
2,1,January
3,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
2,1,January
2,3,January
1,1,January
2,1,January
3,1,January
2,2,January
2,2,January
2,1,January
2,1,January
2,1,January
3,2,January
2,2,January
1,1,January
2,2,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
3,1,January
2,2,January
2,1,January
3,2,January
2,2,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
3,3,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,2,January
1,1,January
2,1,January
1,1,January
5,4,January
3,3,January
2,1,January
2,1,January
2,1,January
2,3,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
4,1,January
4,2,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
3,1,January
1,1,January
1,1,January
1,2,January
2,1,January
1,2,January
2,4,January
2,1,January
2,1,January
2,2,January
2,1,January
1,1,January
1,1,January
2,1,January
3,1,January
1,3,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,2,January
2,2,January
2,1,January
1,1,January
2,4,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,3,January
2,1,January
2,1,January
2,1,January
2,3,January
2,1,January
3,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,3,January
2,1,January
2,1,January
1,1,January
3,1,January
2,1,January
2,1,January
2,1,January
1,3,January
2,2,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
3,1,January
2,1,January
3,2,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
3,1,January
1,1,January
1,1,January
2,1,January
2,1,January
3,1,January
2,1,January
1,1,January
1,1,January
3,1,January
2,2,January
1,1,January
3,1,January
2,1,January
3,2,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,4,January
1,1,January
2,1,January
1,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,1,January
3,1,January
3,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,4,January
3,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,2,January
2,2,January
2,1,January
2,3,January
2,1,January
1,1,January
3,2,January
2,2,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,4,January
2,2,January
2,1,January
2,2,January
2,1,January
2,2,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,1,January
3,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
3,1,January
3,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,2,January
2,2,January
2,1,January
2,2,January
2,2,January
2,3,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
3,1,January
2,3,January
2,1,January
2,2,January
1,1,January
2,1,January
3,2,January
1,1,January
1,2,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
3,3,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
3,2,January
1,1,January
3,1,January
1,1,January
3,1,January
2,1,January
2,1,January
4,2,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
3,2,January
2,1,January
1,1,January
2,2,January
1,1,January
2,1,January
3,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,2,January
1,1,January
2,1,January
2,1,January
1,1,January
3,2,January
1,2,January
2,1,January
1,1,January
2,2,January
1,1,January
2,1,January
1,1,January
2,1,January
3,1,January
1,1,January
1,1,January
2,2,January
2,1,January
2,2,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
3,3,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,2,January
2,1,January
1,1,January
1,2,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
4,1,January
1,1,January
2,2,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,3,January
2,1,January
2,2,January
3,1,January
3,5,January
1,1,January
2,3,January
2,2,January
3,1,January
2,1,January
3,2,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,2,January
1,1,January
1,1,January
1,2,January
1,1,January
2,2,January
2,1,January
3,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
1,2,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
3,1,January
2,2,January
2,1,January
1,1,January
2,1,January
3,2,January
2,1,January
4,1,January
2,1,January
2,1,January
2,1,January
2,1,January
4,1,January
2,3,January
2,1,January
2,2,January
2,2,January
2,3,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,4,January
2,1,January
2,1,January
3,2,January
2,1,January
2,1,January
3,3,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
3,4,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,3,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,1,January
1,1,January
2,1,January
2,2,January
2,1,January
3,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
3,3,January
2,1,January
2,1,January
3,1,January
2,2,January
1,1,January
3,1,January
2,1,January
1,1,January
3,2,January
2,2,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
2,3,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
8,4,January
1,1,January
4,6,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,2,January
1,1,January
2,2,January
1,1,January
2,2,January
2,3,January
2,1,January
2,1,January
2,4,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,4,January
2,1,January
1,1,January
1,2,January
2,1,January
2,2,January
2,2,January
2,1,January
4,1,January
1,1,January
1,1,January
2,3,January
1,1,January
3,1,January
1,1,January
3,1,January
3,1,January
4,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,3,January
2,1,January
2,2,January
1,1,January
1,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,1,January
1,1,January
2,1,January
3,1,January
1,1,January
3,1,January
2,1,January
2,1,January
2,1,January
1,2,January
1,1,January
4,1,January
2,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
1,1,January
3,2,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,1,January
6,1,January
1,1,January
1,1,January
2,1,January
3,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,3,January
1,1,January
2,1,January
2,2,January
2,2,January
2,2,January
1,1,January
2,2,January
1,1,January
3,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,2,January
1,1,January
2,1,January
1,2,January
2,1,January
1,1,January
2,3,January
3,1,January
2,1,January
2,2,January
2,1,January
1,1,January
1,1,January
2,1,January
3,1,January
2,1,January
1,1,January
2,1,January
3,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
3,1,January
3,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
9,2,January
2,2,January
1,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
3,1,January
2,2,January
2,2,January
3,1,January
2,1,January
1,2,January
3,1,January
2,3,January
2,2,January
2,2,January
3,1,January
2,3,January
1,1,January
1,2,January
2,2,January
1,3,January
2,1,January
3,1,January
1,2,January
1,1,January
2,1,January
1,1,January
2,2,January
2,3,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,3,January
2,1,January
2,1,January
3,2,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,2,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,2,January
1,2,January
3,4,January
2,1,January
2,2,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
3,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,3,January
1,1,January
2,1,January
2,3,January
3,3,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
3,3,January
2,1,January
2,1,January
2,2,January
1,1,January
2,2,January
3,2,January
1,1,January
3,1,January
2,1,January
1,1,January
2,26,January
2,2,January
2,1,January
2,1,January
3,2,January
1,1,January
2,3,January
2,2,January
2,1,January
3,2,January
2,1,January
5,2,January
2,1,January
2,2,January
2,1,January
2,1,January
2,4,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
2,1,January
2,1,January
2,1,January
2,3,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
1,1,January
3,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
3,2,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
3,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
3,2,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
3,3,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
1,1,January
1,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,3,January
1,1,January
2,1,January
1,1,January
1,2,January
2,1,January
2,1,January
2,1,January
1,1,January
3,1,January
1,1,January
2,1,January
3,1,January
1,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,1,January
1,1,January
3,1,January
1,1,January
1,1,January
2,2,January
4,1,January
2,1,January
2,2,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,2,January
1,1,January
1,1,January
3,3,January
1,1,January
3,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,4,January
1,4,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,3,January
2,2,January
1,1,January
3,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
3,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,3,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
2,2,January
2,4,January
2,1,January
2,1,January
2,3,January
1,1,January
1,1,January
2,2,January
2,2,January
3,3,January
2,2,January
3,2,January
2,4,January
1,1,January
2,2,January
2,1,January
3,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
3,1,January
2,2,January
1,1,January
2,3,January
2,2,January
2,2,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
2,1,January
1,1,January
2,1,January
1,2,January
2,1,January
2,2,January
2,2,January
1,1,January
2,1,January
3,2,January
1,1,January
2,1,January
2,2,January
1,1,January
2,1,January
1,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,5,January
1,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,2,January
2,1,January
1,1,January
1,2,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
1,2,January
2,1,January
1,1,January
2,2,January
2,1,January
2,1,January
2,1,January
4,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
3,1,January
2,1,January
3,1,January
3,1,January
1,1,January
1,1,January
2,2,January
2,2,January
1,2,January
2,3,January
2,2,January
2,2,January
2,1,January
1,1,January
2,1,January
2,2,January
2,5,January
1,4,January
1,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,2,January
2,2,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
1,1,January
1,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
3,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,3,January
1,1,January
2,1,January
2,1,January
2,1,January
2,6,January
2,3,January
2,2,January
3,2,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,2,January
2,1,January
3,1,January
2,3,January
2,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
3,3,January
1,1,January
1,1,January
1,1,January
2,2,January
1,1,January
3,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,3,January
2,1,January
1,1,January
2,1,January
3,1,January
3,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,3,January
2,1,January
2,1,January
